物品编号,物品重量,物品价值
1,85,291.64
2,96,321.25
3,29,334.05
4,78,154.13
5,73,334.04
6,60,248.00
7,44,317.32
8,35,240.76
9,67,202.16
10,76,139.49
11,19,183.25
12,19,252.84
13,37,204.85
14,2,135.88
15,29,376.69
16,69,121.12
17,82,417.70
18,1,326.16
19,25,308.63
20,3,383.74
21,75,238.89
22,10,355.24
23,47,390.07
24,5,175.37
25,19,279.80
26,58,382.60
27,94,174.80
28,49,172.47
29,88,364.30
30,5,115.91
31,61,147.51
32,40,336.67
33,63,190.54
34,94,179.40
35,29,276.13
36,32,320.52
37,8,361.36
38,28,246.25
39,93,243.52
40,32,241.88
41,91,178.84
42,58,161.25
43,15,375.47
44,71,188.58
45,57,395.00
46,61,121.20
47,8,315.86
48,1,419.37
49,69,105.30
50,65,241.02
51,48,364.31
52,96,295.11
53,75,236.56
54,32,160.80
55,15,233.28
56,96,200.06
57,44,194.70
58,10,332.19
59,33,139.90
60,9,227.34
61,20,123.92
62,69,396.63
63,99,300.39
64,48,216.01
65,46,257.73
66,15,226.01
67,79,137.73
68,81,156.86
69,24,310.97
70,8,348.89
71,8,151.73
72,35,311.43
73,49,223.47
74,44,123.96
75,64,225.61
76,10,388.99
77,29,289.36
78,71,214.27
79,92,267.26
80,88,402.84
81,93,344.23
82,44,187.23
83,88,236.15
84,89,256.89
85,48,304.03
86,44,415.39
87,28,211.12
88,40,356.22
89,90,417.24
90,30,413.77
91,48,171.56
92,3,292.47
93,21,247.26
94,69,167.17
95,77,147.12
96,59,191.77
97,79,317.20
98,23,187.80
99,62,408.45
100,49,137.38
101,85,191.18
102,70,303.11
103,92,388.18
104,82,288.75
105,28,201.03
106,74,122.97
107,26,264.23
108,40,386.21
109,3,264.88
110,12,203.24
111,2,290.43
112,75,279.53
113,58,385.04
114,62,301.09
115,85,167.99
116,69,169.90
117,54,203.86
118,44,292.76
119,47,424.09
120,58,237.44
121,38,238.94
122,53,149.25
123,93,226.90
124,61,309.63
125,31,210.16
126,80,280.65
127,41,156.81
128,77,226.20
129,89,356.79
130,35,283.02
131,38,103.33
132,13,244.80
133,12,174.15
134,68,347.62
135,66,152.23
136,52,177.06
137,4,140.31
138,10,417.48
139,78,202.70
140,54,203.94
141,74,207.00
142,89,367.80
143,100,281.04
144,21,421.29
145,81,297.49
146,91,227.42
147,96,239.84
148,100,426.46
149,33,190.13
150,44,113.55
151,51,153.46
152,28,256.52
153,55,425.88
154,63,207.43
155,35,426.89
156,62,384.41
157,7,307.66
158,58,115.64
159,79,307.06
160,54,117.68
161,52,200.50
162,46,238.37
163,92,367.34
164,100,298.00
165,68,268.20
166,9,229.65
167,32,117.80
168,77,143.39
169,98,233.96
170,62,119.82
171,14,243.88
172,18,357.37
173,54,165.01
174,80,168.42
175,4,298.61
176,6,380.74
177,100,315.18
178,88,102.53
179,24,367.85
180,3,271.99
181,13,353.08
182,70,362.24
183,68,155.08
184,73,334.74
185,53,269.59
186,28,110.24
187,59,400.96
188,38,130.89
189,15,343.28
190,48,197.57
191,65,411.63
192,95,156.15
193,65,163.86
194,73,272.12
195,86,215.51
196,18,279.71
197,73,317.82
198,77,187.89
199,44,139.61
200,74,190.95
201,85,183.08
202,89,144.53
203,76,426.83
204,26,214.82
205,39,352.01
206,55,212.45
207,13,238.83
208,90,202.06
209,34,180.20
210,60,226.58
211,62,304.34
212,77,426.51
213,35,291.44
214,72,376.43
215,43,365.57
216,97,229.54
217,32,208.45
218,37,198.79
219,99,270.07
220,70,310.03
221,82,284.39
222,4,232.68
223,93,120.45
224,51,140.00
225,3,398.53
226,78,110.96
227,66,137.44
228,59,336.48
229,28,331.32
230,44,297.24
231,41,236.23
232,42,159.08
233,53,180.33
234,4,259.31
235,92,299.07
236,13,291.49
237,78,161.94
238,30,288.08
239,44,161.21
240,86,420.92
241,16,126.14
242,95,408.21
243,44,293.15
244,6,135.45
245,58,423.12
246,77,312.93
247,7,230.07
248,60,189.89
249,9,189.36
250,89,322.68
251,41,319.02
252,85,208.24
253,9,262.18
254,72,418.73
255,2,230.31
256,26,359.15
257,62,237.01
258,11,300.83
259,99,131.22
260,68,123.35
261,47,153.18
262,31,141.04
263,39,262.37
264,61,378.68
265,78,254.50
266,97,395.67
267,36,227.30
268,68,283.39
269,98,135.59
270,71,347.28
271,96,289.11
272,88,426.13
273,35,222.76
274,66,292.23
275,96,414.29
276,58,118.81
277,90,346.84
278,98,164.69
279,36,340.57
280,3,300.90
281,79,323.04
282,36,167.67
283,20,341.10
284,99,258.79
285,17,244.01
286,7,134.29
287,16,391.13
288,41,284.33
289,50,158.66
290,35,240.75
291,98,358.75
292,36,114.56
293,32,119.40
294,9,121.88
295,47,236.59
296,99,361.43
297,80,270.56
298,82,321.30
299,70,414.42
300,97,378.03
301,47,322.25
302,28,178.23
303,16,354.37
304,7,425.68
305,60,375.99
306,63,342.63
307,57,256.22
308,85,277.40
309,92,152.85
310,97,416.19
311,58,142.20
312,49,156.17
313,26,228.67
314,83,238.72
315,53,293.42
316,40,403.44
317,79,361.09
318,86,232.47
319,44,416.67
320,30,205.45
321,31,151.30
322,98,148.99
323,58,162.77
324,39,292.84
325,34,402.15
326,98,150.77
327,48,341.30
328,4,110.51
329,4,257.29
330,18,295.39
331,69,244.10
332,54,271.41
333,54,279.66
334,68,388.28
335,7,252.68
336,72,136.05
337,42,327.89
338,92,204.21
339,79,226.65
340,20,348.16
341,3,422.89
342,20,405.04
343,21,226.94
344,38,168.51
345,15,344.67
346,45,221.60
347,42,296.94
348,57,420.11
349,50,253.09
350,99,419.51
351,77,284.54
352,47,248.59
353,82,366.63
354,33,407.60
355,62,360.56
356,37,149.38
357,54,354.37
358,3,302.61
359,46,267.37
